<platter, cylinder, sector, number of requested sectors>
1) <1, 15, 13, 16>
2) <2, 17, 9, 2>
3) <2, 2, 10, 20>
4) <3, 1, 0, 7>
5) <0, 11, 11, 9>
6) <3, 4, 2, 11>
7) <2, 23, 7, 16>
8) <1, 2, 2, 19>
9) <1, 17, 13, 17>
10) <3, 17, 9, 14>
11) <1, 19, 4, 18>
12) <2, 24, 15, 11>
13) <1, 1, 11, 1>
14) <0, 23, 2, 11>
15) <0, 6, 5, 6>
16) <0, 2, 16, 6>
17) <2, 4, 13, 18>
18) <0, 20, 2, 6>
19) <2, 17, 14, 5>
20) <3, 0, 7, 9>
21) <0, 3, 8, 5>
22) <3, 1, 14, 20>
23) <0, 10, 16, 9>
24) <3, 12, 6, 7>
25) <2, 14, 15, 11>
26) <2, 3, 7, 2>
27) <1, 2, 17, 13>
28) <0, 6, 1, 1>
29) <2, 16, 5, 10>
30) <0, 19, 0, 10>
31) <3, 17, 17, 12>
32) <1, 0, 9, 8>
33) <3, 6, 17, 14>
34) <2, 15, 6, 4>
35) <3, 24, 8, 12>
36) <0, 4, 3, 20>
37) <2, 18, 8, 16>
38) <0, 24, 16, 4>
39) <2, 20, 6, 12>
40) <1, 5, 19, 9>
41) <0, 3, 1, 11>
42) <1, 0, 14, 5>
43) <0, 14, 7, 17>
44) <3, 16, 7, 6>
45) <3, 11, 12, 12>
46) <1, 3, 15, 8>
47) <2, 21, 18, 16>
48) <1, 12, 15, 14>
49) <2, 3, 3, 12>
50) <0, 4, 16, 5>
51) <3, 13, 13, 19>
52) <2, 15, 4, 19>
53) <0, 13, 9, 18>
54) <1, 21, 4, 4>
55) <2, 8, 10, 20>
56) <0, 0, 4, 11>
57) <1, 14, 14, 7>
58) <1, 7, 2, 5>
59) <1, 7, 15, 5>
60) <0, 11, 2, 9>
61) <3, 18, 6, 9>
62) <0, 22, 11, 11>
63) <1, 1, 1, 11>
64) <2, 5, 0, 17>
65) <0, 1, 2, 6>
66) <0, 16, 2, 19>
67) <0, 12, 2, 5>
68) <0, 11, 12, 20>
69) <3, 0, 8, 12>
70) <1, 6, 1, 11>
71) <1, 19, 0, 4>
72) <3, 6, 19, 17>
73) <3, 23, 13, 9>
74) <2, 20, 6, 7>
75) <0, 15, 10, 5>
76) <0, 17, 16, 8>
77) <1, 6, 19, 19>
78) <3, 12, 8, 13>
79) <3, 9, 16, 11>
80) <2, 12, 6, 2>
81) <1, 22, 1, 16>
82) <3, 24, 1, 5>
83) <3, 11, 0, 8>
84) <1, 3, 7, 11>
85) <0, 8, 0, 5>
86) <2, 19, 16, 2>
87) <2, 9, 12, 13>
88) <0, 0, 5, 6>
89) <2, 24, 0, 3>
90) <2, 13, 18, 11>
91) <0, 15, 9, 2>
92) <3, 11, 12, 16>
93) <2, 4, 19, 10>
94) <1, 1, 10, 16>
95) <0, 17, 19, 5>
96) <1, 5, 1, 8>
97) <0, 13, 1, 15>
98) <2, 9, 4, 3>
99) <2, 6, 4, 2>
100) <2, 18, 8, 10>
101) <0, 8, 18, 19>
102) <0, 8, 13, 9>
103) <3, 8, 13, 9>
104) <2, 4, 7, 7>
105) <0, 4, 0, 7>
106) <0, 22, 9, 11>
107) <3, 8, 3, 18>
108) <1, 17, 6, 6>
109) <0, 21, 15, 9>
110) <1, 4, 16, 1>
111) <2, 21, 0, 5>
112) <0, 2, 10, 9>
113) <0, 2, 14, 18>
114) <3, 18, 19, 3>
115) <0, 3, 0, 2>
116) <3, 13, 19, 12>
117) <3, 9, 19, 13>
118) <3, 2, 4, 10>
119) <1, 14, 5, 10>
120) <3, 10, 17, 1>
121) <2, 21, 9, 10>
122) <3, 13, 12, 16>
123) <3, 19, 9, 11>
124) <2, 15, 1, 10>
125) <2, 7, 1, 3>
126) <0, 17, 3, 2>
127) <1, 9, 10, 6>
128) <0, 17, 17, 15>
129) <2, 1, 4, 18>
130) <2, 18, 5, 19>
131) <0, 11, 0, 7>
132) <2, 19, 16, 13>
133) <2, 4, 6, 11>
134) <3, 20, 11, 1>
